lake_id,period,region,dominant_landcover,nof_lake_type,lake_perimeter,lake_depth,lake_area,lake_number,lake_name,east_nzmg,north_nzmg,median_NH4N_mg/L^-1,band_classification_NH4N,exceeding_national_bottom_line_NH4N1.3,median_CHLA_mg/m^3,band_classification_CHLA,exceeding_national_bottom_line_CHLA12,median_SECCHI_metre,median_TN_mg/m^3,band_classification_TN,national_bottom_line_TN,exceeding_national_bottom_line_TN,median_TP_mg/m^3,band_classification_TP,exceeding_national_bottom_line_TP50,median_TLI3,band_classification_TLI3
24777,2013-2017,West Coast,Native,Stratified,1392.22,23.56,43142.75,,,2456542,5956001,0.005644,A,FALSE,2.395405,B,FALSE,8.182701,271.7698,B,750,FALSE,14.19387,B,FALSE,3.537606,Mesotrophic (average)
24789,2013-2017,West Coast,Native,Stratified,4201.46,43.02,187760.7,,,2458775,5961602,0.006882,A,FALSE,1.852084,A,FALSE,7.745972,214.8638,B,750,FALSE,8.072043,A,FALSE,2.849743,Oligotrophic (good)
24790,2013-2017,West Coast,Native,Stratified,962.89,19.27,21913.5,,,2459313,5961808,0.005967,A,FALSE,3.2033,B,FALSE,8.185661,298.7061,B,750,FALSE,13.39743,B,FALSE,3.488434,Mesotrophic (average)
24791,2013-2017,West Coast,Native,Stratified,666.25,15.77,19539.69,,,2460211,5962532,0.005463,A,FALSE,3.403302,B,FALSE,8.420329,257.617,B,750,FALSE,13.22723,B,FALSE,3.321297,Mesotrophic (average)
24794,2013-2017,West Coast,Native,Stratified,672.71,15.85,18516.56,,,2464744,5961133,0.006167,A,FALSE,2.334442,B,FALSE,7.084644,256.0973,B,750,FALSE,13.06391,B,FALSE,2.89348,Oligotrophic (good)
24795,2013-2017,West Coast,Native,Stratified,1582.85,25.27,85915.56,,,2458518,5965091,0.006301,A,FALSE,3.081242,B,FALSE,8.010169,243.0168,B,750,FALSE,14.33372,B,FALSE,3.194792,Mesotrophic (average)
24805,2013-2017,West Coast,Native,Stratified,1567.54,25.14,116029.3,,,2446409,5970217,0.006704,A,FALSE,3.12008,B,FALSE,8.405791,275.3902,B,750,FALSE,9.782704,A,FALSE,3.305943,Mesotrophic (average)
24806,2013-2017,West Coast,Native,Stratified,1284.94,22.56,80835.19,,,2446397,5971237,0.006737,A,FALSE,3.784107,B,FALSE,8.271116,277.8246,B,750,FALSE,11.55361,B,FALSE,3.395172,Mesotrophic (average)
24809,2013-2017,West Coast,Native,Stratified,884.58,18.4,15617.88,,,2453633,5972100,0.007057,A,FALSE,3.743198,B,FALSE,8.394269,308.3255,B,750,FALSE,11.451,B,FALSE,3.782749,Mesotrophic (average)
24827,2013-2017,West Coast,Native,Stratified,738.76,16.68,40582.31,,,2451866,5981267,0.006522,A,FALSE,1.985224,A,FALSE,5.646347,246.3016,B,750,FALSE,11.16792,B,FALSE,2.744033,Oligotrophic (good)
24846,2013-2017,Tasman district council,Native,Stratified,734.09,16.62,29130.94,,,2465167,5977198,0.0065,A,FALSE,1.958402,A,FALSE,5.874117,246.6301,B,750,FALSE,13.41349,B,FALSE,2.77803,Oligotrophic (good)
